sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,age_bin,split,nll,sigma_knn_corrected,raw_sigma_knn,sigma_mlp,political_entity,pulldown_strategy,data_type,publication
I6771.AG,51.41666700,-3.46666700,46.76369036,8.72991328,2042.000000,1028.631362,835.696350,0.47105473,Wales_IA.AG,1240k,"Llanmaes (Wales, Glamorgan, Llantwit Major)",1000-2500 BP,test,7.48578256,1217.622925,763.362488,1149.061157,United Kingdom,Native Pulldown on 3.2M snpset,1240k,PattersonNature2021
I6922.AG,32.03243600,34.89061100,40.36658104,1.69920197,3725.000000,3102.605348,918.458191,0.78974253,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.52833545,1033.514648,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I6923.AG,32.03243600,34.89061100,40.30442253,1.61190204,3725.000000,3109.449943,906.203796,0.79531574,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.69614702,1016.145935,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I6924.AG,32.03243600,34.89061100,40.37187407,1.70664902,3725.000000,3102.022877,919.494934,0.78926754,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.51446720,1034.992554,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I6928.AG,32.03243600,34.89061100,40.37013658,1.70420336,3725.000000,3102.214146,919.154602,0.78942347,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.51901419,1034.507324,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I7002.AG,32.03243600,34.89061100,40.36879526,1.70231659,3725.000000,3102.361715,918.892029,0.78954387,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.52252614,1034.132935,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I7003.AG,32.03243600,34.89061100,40.28136652,1.57958923,3725.000000,3111.991071,901.619934,0.79738116,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.76081010,1009.695740,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I7152.AG,44.88898000,25.92660000,48.05451301,15.50066839,4462.000000,871.378834,1345.943604,0.49132493,Romania_BA_1.AG,1240k,"Târgșoru-Vechi (Prahova County, Târgșoru Vechi)",4000-6000 BP,test,7.41442118,1920.182251,1293.781738,1887.150879,Romania,Native Pulldown on 3.2M snpset,1240k,LazaridisAlpaslanRoodenbergScience2022
I7182.AG,32.03243600,34.89061100,40.33818565,1.65928722,3725.000000,3105.731028,912.878662,0.79228932,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.60384406,1025.583740,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I7184.AG,32.03243600,34.89061100,40.37768145,1.71482067,3725.000000,3101.383995,920.631165,0.78874642,Israel_MLBA.AG,1240k,"Yehud (Central District, Petah Tiqwa)",2500-4000 BP,test,12.49932616,1036.613770,81.792130,2003.012451,Israel,Native Pulldown on 3.2M snpset,1240k,AgranatTamirWaldmanCell2020
I7195.AG,50.05041530,14.36672670,49.35139620,12.13018395,4250.000000,179.132856,1069.118042,0.69049656,Czechia_EBA.AG,1240k,"Praha-Zahradnictví (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.98862616,1286.604004,438.400208,1921.732666,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7196.AG,50.05041530,14.36672670,49.35088043,12.13208443,4250.000000,179.035099,1069.704712,0.69015688,Czechia_EBA.AG,1240k,"Praha-Zahradnictví (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.98914406,1287.626831,438.400208,1921.732666,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7197.AG,50.05041530,14.36672670,46.88732698,18.01354412,6438.000000,442.657931,852.858032,0.28679010,Czechia_MN.AG,1240k,"Praha-Zahradnictví (Prague Region, Prague District, Prague-5)",>6000 BP,test,6.88328858,1592.555908,653.603882,1009.876099,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7198.AG,50.05041530,14.36672670,50.55433887,12.28682704,4026.000000,158.388230,914.899780,0.78134382,Czechia_EBA.AG,1240k,"Praha-Zahradnictví (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.83379994,1035.028809,126.120041,1956.557861,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
